activity,type,participants,price,link,key,accessibility,value,timestamp
Write a list of things you are grateful for,relaxation,1,0.0,,2062010,0.0,61,2022-10-29T21:01:35.338472
Mow your lawn,busywork,1,0.1,,3590127,0.3,-28,2022-10-29T21:01:35.268903
Make a scrapbook with pictures of your favorite memories,diy,1,0.1,,5554174,0.1,50,2022-10-29T21:01:35.251262
Bake a pie with some friends,cooking,3,0.3,,3141592,0.3,-90,2022-10-29T21:01:35.292108
Learn the Chinese erhu,music,1,0.6,,2742452,0.4,-55,2022-10-29T21:01:35.338472
Go see a movie in theaters with a few friends,social,4,0.2,,5262759,0.3,63,2022-10-29T21:01:35.327548
Volunteer and help out at a senior center,charity,1,0.0,,3920096,0.1,85,2022-10-29T21:01:35.292108
Clean out your car,busywork,1,0.0,,2896176,0.08,1,2022-10-29T21:01:35.277966
Make a to-do list for your week,busywork,1,0.0,,5920481,0.05,14,2022-10-29T21:01:35.327548
Start a book you've never gotten around to reading,relaxation,1,0.1,,7114122,0.1,-98,2022-10-29T21:01:40.732109
Rearrange and organize your room,busywork,1,0.0,,6197243,0.15,-26,2022-10-29T21:01:40.750155
Go on a long drive with no music,relaxation,1,0.1,,4290333,0.2,-79,2022-10-29T21:01:40.758383
Wash your car,busywork,1,0.05,,1017771,0.15,6,2022-10-29T21:01:40.778238
Volunteer at a local animal shelter,charity,1,0.1,,1382389,0.5,2,2022-10-29T21:01:40.778238
Find a DIY to do,diy,1,0.4,,4981819,0.3,38,2022-10-29T21:01:40.778238
Pick up litter around your favorite park,charity,1,0.0,,4894697,0.05,-34,2022-10-29T21:01:40.796154
Make a bucket list,busywork,1,0.0,,2735499,0.0,70,2022-10-29T21:01:40.806594
Organize your dresser,busywork,1,0.0,,7556665,1.0,1,2022-10-29T21:01:40.816299
Listen to your favorite album,music,1,0.08,,3136729,0.2,-98,2022-10-29T21:01:46.217226
Start a webinar on a topic of your choice,education,1,0.0,,6826029,0.9,14,2022-10-29T21:01:46.241618
Make homemade ice cream,cooking,1,0.2,,3818400,0.2,82,2022-10-29T21:01:46.279552
